minTotal value	# of included sequences	% of included sequences
0	319,561	100.00000
1	319,561	100.00000
2	36,375	11.38280
3	9,251	2.89491
4	4,822	1.50895
5	3,123	0.97728
6	2,182	0.68281
7	1,580	0.49443
8	1,197	0.37458
9	975	0.30511
10	802	0.25097
11	670	0.20966
12	564	0.17649
13	480	0.15021
14	416	0.13018
15	349	0.10921
16	307	0.09607
17	273	0.08543
18	245	0.07667
19	229	0.07166
20	199	0.06227
21	179	0.05601
22	171	0.05351
23	159	0.04976
24	148	0.04631
25	141	0.04412
26	129	0.04037
27	123	0.03849
28	119	0.03724
29	114	0.03567
30	113	0.03536
31	108	0.03380
32	104	0.03254
33	104	0.03254
34	100	0.03129
35	97	0.03035
36	90	0.02816
37	86	0.02691
38	86	0.02691
39	84	0.02629
40	82	0.02566
41	80	0.02503
42	77	0.02410
43	76	0.02378
44	72	0.02253
45	68	0.02128
46	66	0.02065
47	64	0.02003
48	64	0.02003
49	62	0.01940
50	61	0.01909
51	60	0.01878
52	60	0.01878
53	59	0.01846
54	58	0.01815
55	58	0.01815
56	57	0.01784
57	55	0.01721
58	54	0.01690
59	53	0.01659
60	51	0.01596
61	50	0.01565
62	50	0.01565
63	50	0.01565
64	50	0.01565
65	49	0.01533
66	49	0.01533
67	49	0.01533
68	49	0.01533
69	48	0.01502
70	47	0.01471
71	45	0.01408
72	44	0.01377
73	43	0.01346
74	42	0.01314
75	42	0.01314
76	42	0.01314
77	41	0.01283
78	41	0.01283
79	40	0.01252
80	37	0.01158
81	37	0.01158
82	37	0.01158
83	37	0.01158
84	37	0.01158
85	37	0.01158
86	37	0.01158
87	37	0.01158
88	37	0.01158
89	36	0.01127
90	36	0.01127
91	35	0.01095
92	35	0.01095
93	33	0.01033
94	33	0.01033
95	33	0.01033
96	33	0.01033
97	33	0.01033
98	33	0.01033
99	33	0.01033
100	33	0.01033
101	33	0.01033
102	33	0.01033
103	33	0.01033
104	33	0.01033
105	32	0.01001
106	32	0.01001
107	31	0.00970
108	31	0.00970
109	31	0.00970
110	30	0.00939
111	30	0.00939
112	29	0.00907
113	29	0.00907
114	28	0.00876
115	28	0.00876
116	28	0.00876
117	28	0.00876
