minTotal value	# of included sequences	% of included sequences
351	11	0.00310
352	11	0.00310
353	11	0.00310
354	11	0.00310
355	11	0.00310
356	11	0.00310
357	11	0.00310
358	11	0.00310
359	11	0.00310
360	11	0.00310
361	11	0.00310
362	11	0.00310
363	11	0.00310
364	11	0.00310
365	11	0.00310
366	11	0.00310
367	11	0.00310
368	11	0.00310
369	11	0.00310
370	11	0.00310
371	11	0.00310
372	11	0.00310
373	11	0.00310
374	11	0.00310
375	11	0.00310
376	10	0.00281
377	9	0.00253
378	9	0.00253
379	9	0.00253
380	9	0.00253
381	9	0.00253
382	9	0.00253
383	9	0.00253
384	9	0.00253
385	9	0.00253
386	9	0.00253
387	9	0.00253
388	9	0.00253
389	9	0.00253
390	9	0.00253
391	9	0.00253
392	9	0.00253
393	9	0.00253
394	9	0.00253
395	9	0.00253
396	9	0.00253
397	9	0.00253
398	9	0.00253
399	9	0.00253
400	9	0.00253
401	9	0.00253
402	9	0.00253
403	9	0.00253
404	9	0.00253
405	9	0.00253
406	9	0.00253
407	9	0.00253
408	9	0.00253
409	9	0.00253
410	9	0.00253
411	9	0.00253
412	9	0.00253
413	9	0.00253
414	9	0.00253
415	9	0.00253
416	9	0.00253
417	9	0.00253
418	9	0.00253
419	9	0.00253
420	9	0.00253
421	9	0.00253
422	9	0.00253
423	9	0.00253
424	9	0.00253
425	9	0.00253
426	9	0.00253
427	9	0.00253
428	9	0.00253
429	9	0.00253
430	9	0.00253
431	9	0.00253
432	9	0.00253
433	9	0.00253
434	9	0.00253
435	9	0.00253
436	9	0.00253
437	9	0.00253
438	9	0.00253
439	9	0.00253
440	9	0.00253
441	9	0.00253
442	9	0.00253
443	9	0.00253
444	9	0.00253
445	9	0.00253
446	9	0.00253
447	9	0.00253
448	9	0.00253
449	9	0.00253
450	9	0.00253
451	9	0.00253
452	9	0.00253
453	9	0.00253
454	9	0.00253
455	9	0.00253
456	9	0.00253
457	9	0.00253
458	9	0.00253
459	9	0.00253
460	9	0.00253
461	9	0.00253
462	9	0.00253
463	9	0.00253
464	9	0.00253
465	9	0.00253
466	9	0.00253
467	9	0.00253
468	9	0.00253
469	9	0.00253
470	9	0.00253
471	9	0.00253
472	9	0.00253
473	9	0.00253
474	9	0.00253
475	9	0.00253
476	9	0.00253
477	9	0.00253
478	9	0.00253
479	9	0.00253
480	9	0.00253
481	9	0.00253
482	9	0.00253
483	9	0.00253
484	9	0.00253
485	9	0.00253
486	9	0.00253
487	9	0.00253
488	9	0.00253
489	9	0.00253
490	9	0.00253
491	9	0.00253
492	9	0.00253
493	9	0.00253
494	9	0.00253
495	9	0.00253
496	9	0.00253
497	9	0.00253
498	9	0.00253
499	9	0.00253
500	9	0.00253
501	9	0.00253
502	9	0.00253
503	9	0.00253
504	9	0.00253
505	9	0.00253
506	9	0.00253
507	9	0.00253
508	8	0.00225
509	8	0.00225
510	8	0.00225
511	8	0.00225
512	8	0.00225
513	8	0.00225
514	8	0.00225
515	8	0.00225
516	8	0.00225
517	8	0.00225
518	8	0.00225
519	8	0.00225
520	8	0.00225
521	8	0.00225
522	8	0.00225
523	8	0.00225
524	8	0.00225
525	8	0.00225
526	8	0.00225
527	8	0.00225
528	8	0.00225
529	8	0.00225
530	8	0.00225
531	8	0.00225
532	8	0.00225
533	8	0.00225
534	8	0.00225
535	8	0.00225
536	8	0.00225
537	8	0.00225
538	8	0.00225
539	7	0.00197
540	7	0.00197
541	7	0.00197
542	7	0.00197
543	7	0.00197
544	7	0.00197
545	7	0.00197
546	7	0.00197
547	7	0.00197
548	7	0.00197
549	7	0.00197
550	7	0.00197
551	7	0.00197
552	7	0.00197
553	7	0.00197
554	7	0.00197
555	7	0.00197
556	7	0.00197
557	7	0.00197
558	7	0.00197
559	7	0.00197
560	7	0.00197
561	7	0.00197
562	7	0.00197
563	7	0.00197
564	7	0.00197
565	7	0.00197
566	7	0.00197
567	7	0.00197
568	7	0.00197
569	7	0.00197
570	7	0.00197
571	7	0.00197
572	7	0.00197
573	7	0.00197
574	7	0.00197
575	7	0.00197
576	7	0.00197
577	7	0.00197
578	7	0.00197
579	7	0.00197
580	7	0.00197
581	7	0.00197
582	7	0.00197
583	7	0.00197
584	7	0.00197
585	7	0.00197
586	7	0.00197
587	7	0.00197
588	7	0.00197
589	7	0.00197
590	7	0.00197
591	7	0.00197
592	7	0.00197
593	7	0.00197
594	7	0.00197
595	7	0.00197
596	7	0.00197
597	7	0.00197
598	7	0.00197
599	7	0.00197
600	7	0.00197
601	7	0.00197
602	7	0.00197
603	7	0.00197
604	7	0.00197
605	7	0.00197
606	7	0.00197
607	7	0.00197
608	7	0.00197
609	7	0.00197
610	7	0.00197
611	7	0.00197
612	7	0.00197
613	7	0.00197
614	7	0.00197
615	7	0.00197
616	7	0.00197
617	7	0.00197
618	7	0.00197
619	7	0.00197
620	7	0.00197
621	7	0.00197
622	7	0.00197
